B2_max_rel,B2_rms_rel,Bmag_max_rel,Bmag_rms_rel,Bvec_max_rel,Bvec_rms_rel,F_norm,F_rel,Fz_mean,Fz_mean_rel_error,N_mean,N_mean_rel_error,accumulated_angle,accumulated_angle_rel_error,bracket_width,case,dt,dt_Omega18,dt_Omega6,dt_level,dt_tau,final_x,final_y,gap_mm,grad_max_rel,grad_rms_rel,grid_ds,grid_dx,grid_level,grid_n,omega,omega_ball,omega_ball_rel_error,omega_crit,omega_crit_shift,ratio,ratio_abs_error,ratio_rel_error,record,regime,regime_change,slip_mean,slip_mean_rel_error,spin_radial,spin_radial_rel_error,status,steps_cycle18,steps_cycle6,steps_tau,tau_mean,tau_mean_rel_error,tau_norm,tau_rel,vtan_mean,vtan_mean_rel_error
,,,,,,,,-0.019266869146137632,1.0337861686971249e-05,0.08849872450634416,2.250615686132056e-06,-5.404326972431444,4.187344037575068e-06,,C_retrograde,4e-05,,,2dt,,0.052321575285627364,0.06314459392495589,8.0,,,,,,,16.0,-5.03420793705171,1.0931157507184037e-05,,,-0.3146379960657319,3.439319896991755e-06,1.0931157507184037e-05,timestep,retrograde,False,0.019795541565774243,0.0007780013270909342,61.28303687293756,3.5614346069470047e-06,,,,,2.575277570255502e-05,6.181940706260641e-06,,,-0.36837417165846953,1.5848458383956013e-07
,,,,,,,,-0.01926634462526479,1.6886400401948224e-05,0.08849819998547133,3.676272596760951e-06,-5.404263970767258,7.470338467031857e-06,,C_retrograde,2e-05,,,dt,,0.0523172161772546,0.06314743052837134,8.0,,,,,,,16.0,-5.0340583732522655,1.877866700155589e-05,,,-0.3146286483282666,5.908417568312174e-06,1.877866700155589e-05,timestep,retrograde,False,0.01976467251825705,0.0007826058214672923,61.283349335706774,1.537230086319676e-06,,,,,2.575231774385086e-05,1.1601056378069569e-05,,,-0.368373142479853,2.635356186883216e-06
,,,,,,,,-0.01926672438295611,2.8242030346129573e-06,0.08849857974316265,6.148462654384813e-07,-5.404310077872783,1.0612139031666902e-06,,C_retrograde,1e-05,,,dt/2,,0.05232031550610439,0.06314524496847904,8.0,,,,,,,16.0,-5.034167575986997,2.9137084046953545e-06,,,-0.3146354734991873,9.167533523979365e-07,2.9137084046953545e-06,timestep,retrograde,False,0.019782185389040235,0.00010277009823975271,61.283219390679406,5.831701289380168e-07,,,,,2.5752673906112876e-05,2.2290824739058105e-06,,,-0.3683741808435021,1.8341856328278162e-07
,,,,,,,,-0.019266669969968314,0.0,0.08849852533017485,0.0,-5.404304342749877,0.0,,C_retrograde,5e-06,,,dt/4,,0.05231994448062646,0.06314553431486342,8.0,,,,,,,16.0,-5.0341529079333585,0.0,,,-0.3146345567458349,0.0,0.0,timestep,retrograde,False,0.019780152580816307,0.0,61.2832551292432,0.0,,,,,2.5752616501406776e-05,0.0,,,-0.3683741132768515,0.0
,,,,,,,,-0.007909700908125752,3.4637939166260124e-09,0.07714155626833229,3.5515967863002953e-10,-0.8178429395056934,3.8685859599621225e-09,,D_weak_field,4e-05,,,2dt,,0.0421706648853438,-0.04499988672475899,16.0,,,,,,,10.0,-0.9314733818586154,3.793493178595165e-09,,,-0.09314733818586154,3.533537906719175e-10,3.793493178595165e-09,timestep,retrograde,False,0.0004647737783075728,5.292500627156716e-09,9.541893394432908,2.819971188597182e-09,,,,,1.341306304058865e-05,5.960601789845206e-09,,,-0.056788704341923166,2.7987552233526476e-09
,,,,,,,,-0.007909700871132675,1.2131309838561797e-09,0.07714155623133921,1.2438827285516367e-10,-0.8178429371692385,1.0117355616706496e-09,,D_weak_field,2e-05,,,dt,,0.04217066498774948,-0.044999886623311156,16.0,,,,,,,10.0,-0.9314733795286297,1.2920951750869065e-09,,,-0.09314733795286298,1.2035522578557334e-10,1.2920951750869065e-09,timestep,retrograde,False,0.0004647737746019829,2.680388804609043e-09,9.541893382325856,1.551140056752919e-09,,,,,1.3413062956392327e-05,3.165866294382832e-10,,,-0.056788704273036734,1.5857247048277268e-09
,,,,,,,,-0.007909700879710458,1.286673978369807e-10,0.07714155623991699,1.3192987262370291e-11,-0.817842934963815,1.6848989783874234e-09,,D_weak_field,1e-05,,,dt/2,,0.042170665071166846,-0.044999886513418734,16.0,,,,,,,10.0,-0.931473376580041,1.873415267984017e-09,,,-0.0931473376580041,1.7450364764304283e-10,1.873415297781514e-09,timestep,retrograde,False,0.00046477377581101323,7.905803086563854e-11,9.541893348431998,2.0009703139147856e-09,,,,,1.3413062956101604e-05,3.382613007052002e-10,,,-0.056788704068458866,2.0167147499493365e-09
,,,,,,,,-0.007909700880728178,0.0,0.07714155624093472,0.0,-0.8178429363417977,0.0,,D_weak_field,5e-06,,,dt/4,,0.0421706650146007,-0.04499988657733727,16.0,,,,,,,10.0,-0.9314733783250775,0.0,,,-0.09314733783250775,0.0,0.0,timestep,retrograde,False,0.0004647737758477573,0.0,9.541893367525043,0.0,,,,,1.3413062960638724e-05,0.0,,,-0.05678870418298548,0.0
,,,,,,,,,,,,,,0.015625,,2e-05,,,dt,,,,5.0,,,,,default,,,,,7.7890625,0.0,,,,critical,,,,,,,ok,,,,,,,,,
,,,,,,,,,,,,,,0.015625,,1e-05,,,dt/2,,,,5.0,,,,,default,,,,,7.7890625,0.0,,,,critical,,,,,,,ok,,,,,,,,,
