B_center,B_max,B_mean,B_min,B_std,B_vector_rms_rel,F_norm,F_ratio,F_rel_fine,F_vector_rel,Fmag,Fmag_point,Fmag_volume,Fz,Fz_point,Fz_volume,Nload,case,gap_mm,grad_rms_rel,model,n_elem,normal_ratio,omega,omega_crit_point,omega_crit_volume,quadrature,radius_mm,ratio,ratio_point,ratio_volume,record,regime,regime_point,regime_volume,seconds_per_sim_second,shift,tau_norm,tau_point,tau_ratio,tau_rel_fine,tau_vector_rel,tau_volume,time_point,time_volume,torque,vtan
,,,,,,,,,,,1.2784721850524114,2.394116059124576,,-1.2756169348017488,-2.386343971366922,,,3.0,,,,1.8259122101239444,2.0,,,,,,1.000237438409107,1.0011868569989724,comparison,,locked/prograde,locked/prograde,,,,0.00047775997821681004,,,,0.0010369329218542726,0.17624452299787663,2.9595976679993328,,
,,,,,,,,,,,1.238340301097197,2.3347592182334616,,-1.2232396908752619,-2.307115315123878,,,3.0,,,,1.8386069522424522,5.0,,,,,,0.9997309206516635,1.000246984316922,comparison,,locked/prograde,locked/prograde,,,,0.0011245968827253792,,,,0.0020810200080182057,0.1714567269955296,2.720592906989623,,
,,,,,,,,,,,1.2320620682801782,2.3287839998094264,,-1.2161342064425922,-2.3006403652996337,,,3.0,,,,1.8437333076430849,10.0,,,,,,1.0001504275879811,0.9999242427126356,comparison,,locked/prograde,locked/prograde,,,,0.001130176341816409,,,,0.002076673346604407,0.16896813997300342,2.587365226005204,,
,,,,,,,,,,,0.015541468532223173,2.076197143430887,,-0.007509811629999449,-2.049921687703895,,,3.0,,,,27.614119241566048,16.0,,,,,,0.5232605820564558,1.0002546278735545,comparison,,locked/prograde,locked/prograde,,,,1.4824266296597413e-05,,,,0.0018786122158354502,0.17298827701597475,2.6093196580186486,,
,,,,,,,,,,,0.5153207354782421,0.86418859135153,,-0.5138965812204727,-0.8612601762792954,,,5.0,,,,1.595689685613133,2.0,,,,,,0.9986852855527701,1.0015078932067785,comparison,,locked/prograde,locked/prograde,,,,0.00021200357430997707,,,,0.0003934256232061903,0.17455896799219772,2.6257153839978855,,
,,,,,,,,,,,0.4952718595134391,0.8375080025926996,,-0.48780855332897793,-0.8264251078857948,,,5.0,,,,1.607885082078053,5.0,,,,,,1.0003044600532252,0.9992803324256331,comparison,,locked/prograde,locked/prograde,,,,0.0004808588599369136,,,,0.0007861187990259242,0.17230650398414582,2.6239315989951137,,
,,,,,,,,,,,0.23466390519118033,0.796085164590239,,-0.21969903902514992,-0.7826760688314016,,,5.0,,,,2.948483325065927,10.0,,,,,,-0.48413500079092353,0.9994598794431189,comparison,,retrograde,locked/prograde,,,,0.0001897056682337835,,,,0.0007484515406403629,0.17173918499611318,2.8765535520215053,,
,,,,,,,,,,,0.21227329850609242,0.3146615615733667,,-0.19351960724480835,-0.28289121697915565,,,5.0,,,,1.3401374395723025,16.0,,,,,,-0.5311002723250998,-0.6219227348021303,comparison,,retrograde,retrograde,,,,0.00022491710419390534,,,,0.00035166858642811995,0.22802303597563878,3.85953876900021,,
,,,,,,,,,,,0.15070805159800912,0.2246979116347118,,-0.14970081525149903,-0.22353521481988595,,,8.0,,,,1.3372470603043893,2.0,,,,,,1.006584611390371,0.9929089828561541,comparison,,locked/prograde,locked/prograde,,,,7.121293659015715e-05,,,,0.00011414270408477659,0.2708011159847956,2.979828084993642,,
,,,,,,,,,,,0.0855508634592164,0.11825543211699212,,-0.0824688934073208,-0.11329178126145555,,,8.0,,,,1.203182173486626,5.0,,,,,,-0.39666703605807385,-0.7539149194066563,comparison,,retrograde,retrograde,,,,4.6531327732860346e-05,,,,6.067027551336689e-05,0.1737812840146944,2.632002572994679,,
,,,,,,,,,,,0.08039238514994342,0.09148025121948683,,-0.07585907017708397,-0.08276313461036046,,,8.0,,,,1.047584398594949,10.0,,,,,,-0.4853426447497909,-0.6862434494889322,comparison,,retrograde,retrograde,,,,7.544375322739783e-05,,,,6.909001951190941e-05,0.1756062039930839,3.5015416170062963,,
,,,,,,,,,,,0.04844264567119748,0.020152520562732305,,-0.04196743095091211,-0.015500246853461597,,,8.0,,,,0.7619842269185131,16.0,,,,,,-0.37792955748126905,-0.33239610423194643,comparison,,retrograde,retrograde,,,,6.200374677648513e-05,,,,2.2716482428947902e-05,0.3681839350028895,3.0101326669973787,,
,,,,,,,,,,,0.06744339399807842,0.09968128448778155,,-0.06610553223265582,-0.09877294217107657,,,10.0,,,,1.241377571412082,2.0,,,,,,1.0023255877333408,0.9844838891905233,comparison,,locked/prograde,locked/prograde,,,,3.523149835030964e-05,,,,5.478957199532996e-05,0.18999285702011548,2.773937277001096,,
