model,parameter_set,field_path,H0_A_m,B_equivalent_T,Omega_rad_s,Ms_A_m,a_A_m,k_A_m,c,alpha,Hc_A_m,Mr_A_m,Mr_over_Ms,loop_area_J_m3_cycle,minor_loop_area_J_m3_cycle,rotational_loss_J_m3_cycle,mean_torque_density_proxy_J_m3,max_angle_lag_deg,path_increment_A_m,convergence_level,normalized_discrepancy,note
scalar_ja,synthetic_hard,alternating_major,23873.2414637843,0.03,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1433.6198212344354,79173.33442795048,0.05278222295196699,6546.415050478124,3688.4767734939446,nan,nan,nan,300.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_hard,circular,23873.2414637843,0.03,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1433.6198212344354,79173.33442795048,0.05278222295196699,6546.415050478124,3688.4767734939446,10777.414967134257,1715.324010933961,3.458018366813851,300.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_hard,alternating_major,39788.735772973836,0.05,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1433.6128681975183,79173.18917477774,0.052782126116518495,8272.543003465515,5795.614569088411,nan,nan,nan,500.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_hard,circular,39788.735772973836,0.05,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1433.6128681975183,79173.18917477774,0.052782126116518495,8272.543003465515,5795.614569088411,13194.195291776976,2099.9766695403446,2.0740345428821714,500.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
validation,synthetic_medium,scalar_reduction,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,N=500,0.0,max |Mx_vector-M_scalar|/Ms; transverse M also zero
validation,synthetic_medium,rotational_covariance,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,nan,nan,nan,nan,nan,2161.2956674341685,nan,nan,nan,,2.234249528971169e-15,fixed arbitrary 3-D rotation; loss invariant
vector_ja,synthetic_medium,circular_rate_check,15915.494309189535,0.02,0.01,1350000.0,6000.0,400.0,0.2,5e-05,nan,nan,nan,nan,nan,2161.2956674341685,nan,1.1520600224194837,nan,,nan,identical geometric H path; traversal rate changes timestamps only
vector_ja,synthetic_medium,circular_rate_check,15915.494309189535,0.02,1.0,1350000.0,6000.0,400.0,0.2,5e-05,nan,nan,nan,nan,nan,2161.2956674341685,nan,1.1520600224194837,nan,,nan,identical geometric H path; traversal rate changes timestamps only
vector_ja,synthetic_medium,circular_rate_check,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,nan,nan,nan,nan,nan,2161.2956674341685,nan,1.1520600224194837,nan,,nan,identical geometric H path; traversal rate changes timestamps only
vector_ja,synthetic_medium,circular_rate_check,15915.494309189535,0.02,117.81,1350000.0,6000.0,400.0,0.2,5e-05,nan,nan,nan,nan,nan,2161.2956674341685,nan,1.1520600224194837,nan,,nan,identical geometric H path; traversal rate changes timestamps only
