benchmark,case,gap_m,phase_rad,l,m,omega_rad_s,B_amplitude_T,Fx_N,Fy_N,Fz_N,taux_Nm,tauy_Nm,tauz_Nm,joule_power_W,stress_radius_over_a,n_mu,n_phi,static_diffusion_ratio,tau_lag_Nm,diffusion_tau_lag_ratio,volume_Fx_N,volume_Fy_N,volume_Fz_N,relative_error,spectral_weight,note
carousel_static_bridge,gap_3mm,0.003,0.2617993877991494,nan,nan,0,0.019780816398867918,-0.022099625977853657,3.840016211446011e-05,-0.06681531196481928,5.3124969365369385e-16,-6.235740866539108e-17,-4.53058544273085e-16,nan,1.05,28,56,nan,nan,nan,-0.022257851621980476,-0.0002044909710605874,-0.06816612934015857,0.019266555422625446,nan,l<=6 modal Maxwell stress vs static volume_demag
carousel_single_frequency,gap_3mm,0.003,0.2617993877991494,nan,nan,20.42,0.019780816398867918,-0.011049513919539006,1.91996632752943e-05,-0.03340674968702555,1.8431634745711601e-16,-4.9522838627957445e-17,-1.0854498247644804e-16,nan,1.05,28,56,0.9999728778217576,nan,nan,nan,nan,nan,nan,nan,one-frequency scale estimate; denominator is zero-frequency phasor
carousel_spectral_component,gap_3mm,0.003,0.2617993877991494,nan,nan,20.420352248344972,nan,-0.011049513909216071,1.9199663241055254e-05,-0.03340674965578569,5.3744949300135086e-17,-6.648240536548065e-17,-1.739426926800533e-16,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,1.0,weighted independent-frequency contribution
carousel_spectral_sum,gap_3mm,0.003,0.2617993877991494,nan,nan,nan,nan,-0.011049513909216071,1.9199663241055254e-05,-0.03340674965578569,5.3744949300135086e-17,-6.648240536548065e-17,-1.739426926800533e-16,nan,1.05,28,56,0.9999728768867344,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
carousel_static_bridge,gap_5mm,0.005,0.0,nan,nan,0,0.03550236514548771,-0.005534477070293055,-3.8337922285731573e-13,-0.812710615742182,-2.7616093013014592e-15,8.961797704803439e-15,5.185818901055893e-16,nan,1.05,28,56,nan,nan,nan,-0.005358441533169073,-1.0520053876422394e-11,-0.7558032670710947,0.07529233236341025,nan,l<=6 modal Maxwell stress vs static volume_demag
carousel_single_frequency,gap_5mm,0.005,0.0,nan,nan,26.7,0.03550236514548771,-0.0027671182617944943,-1.25604208536471e-13,-0.4063417457881685,-1.168245014169548e-15,4.234796021340637e-15,2.317335375206067e-16,nan,1.05,28,56,0.9999666245948766,nan,nan,nan,nan,nan,nan,nan,one-frequency scale estimate; denominator is zero-frequency phasor
carousel_lmax_convergence,gap_5mm,0.005,0.0,1,nan,26.7,0.03550236514548771,-1.583444069223547e-14,1.5855478978942016e-14,1.3013411691558535e-13,-3.598996164121094e-17,1.2821641451037158e-16,8.20550101607814e-17,nan,1.05,28,56,1.0026011186028991,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_5mm,0.005,0.0,2,nan,26.7,0.03550236514548771,-0.0024497400903383177,-1.3383769287976424e-14,-0.2588402140560159,-1.0114290964227857e-16,-2.0419207179203904e-16,9.968928118621959e-17,nan,1.05,28,56,0.9999524131723374,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_5mm,0.005,0.0,3,nan,26.7,0.03550236514548771,-0.0028262669422916193,-6.698052420272762e-14,-0.3677814419383203,-4.049499509405845e-16,5.166165533209382e-15,1.7127227552506868e-16,nan,1.05,28,56,0.9999634541070961,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_5mm,0.005,0.0,4,nan,26.7,0.03550236514548771,-0.002777046200037435,-8.15207632039952e-14,-0.3986974462966213,-6.417225029756591e-16,5.2545964474685206e-15,2.9225867264225803e-16,nan,1.05,28,56,0.9999660124075695,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_5mm,0.005,0.0,5,nan,26.7,0.03550236514548771,-0.0027674060929020333,-1.2934475420654486e-13,-0.4053119891224004,-1.0138721236551433e-15,3.839449032720313e-15,3.251183132717284e-16,nan,1.05,28,56,0.9999665417884362,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_5mm,0.005,0.0,6,nan,26.7,0.03550236514548771,-0.0027671182617944943,-1.25604208536471e-13,-0.4063417457881685,-1.168245014169548e-15,4.234796021340637e-15,2.317335375206067e-16,nan,1.05,28,56,0.9999666245948766,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_spectral_component,gap_5mm,0.005,0.0,nan,nan,26.70353755552804,nan,-0.0025851947762669794,-1.7325005711018744e-13,-0.3796269121850695,-1.1855696306698136e-15,4.234393588813074e-15,1.49576194635885e-16,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.9342552653623881,weighted independent-frequency contribution
carousel_spectral_component,gap_5mm,0.005,0.0,nan,nan,117.80972450968254,nan,-8.87980765716731e-05,-5.131068500573239e-15,-0.013042061717364066,-3.3701365497925015e-17,1.3750820807358795e-16,4.893010451090059e-18,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.032115672702713434,weighted independent-frequency contribution
carousel_spectral_component,gap_5mm,0.005,0.0,nan,nan,171.2167996207386,nan,-9.290056303185369e-05,-7.449682234831818e-15,-0.013647375973142636,-5.138685727179239e-17,1.678751517945928e-16,6.584433893902655e-18,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.03362906193489845,weighted independent-frequency contribution
