benchmark,case,B0_T,mean_B_T,Omega_rad_s,omega_disc_rad_s,tau_lag_s,loop_area_J_m3_cycle,apparent_Hc_A_m,apparent_Mr_A_m,apparent_Mr_over_Ms,peak_M_A_m,differential_susceptibility,mean_torque_Nm,mean_radial_torque_Nm,mechanical_power_W,loss_power_W,energy_per_cycle_J,energy_density_J_m3_cycle,eddy_loss_reference_J_m3_cycle,ratio_to_eddy,Hc_illustrative_A_m,Mr_over_Ms_illustrative,note
linear_tau_lag,,0.01,nan,103.67,nan,0.004,265.37606407311637,3048.2243182591283,8447.182475101603,0.0049689308677068255,22052.360747509847,2.5598154150006405,nan,nan,nan,0.003961661264994236,0.00024010660607923486,265.37606407311637,6.020033993312967,44.0821537499448,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,103.67,nan,0.004,nan,nan,nan,nan,nan,nan,7.64283064530575e-05,nan,0.007923322529988472,0.007923322529988472,0.00048021321215846967,530.7521281462327,12.040067986625933,44.0821537499448,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,117.81,nan,0.004,289.206696691064,3392.2257806905573,9205.735070732266,0.0054151382769013325,21595.529543484576,2.454856945005212,nan,nan,nan,0.004906287494953091,0.000261668054503762,289.206696691064,6.819972245567833,42.40584657496426,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,117.81,nan,0.004,nan,nan,nan,nan,nan,nan,8.329152864702644e-05,nan,0.009812574989906184,0.009812574989906184,0.0005233361090075241,578.4133933821281,13.639944491135664,42.40584657496427,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,0.01,nan,0.004,0.11999999980800002,0.6366197718582858,1.9098593140469697,1.123446655321747e-06,47746.48288937143,2.9999999952000005,nan,nan,nan,1.7279999972352004e-10,1.0857344193434575e-07,0.11999999980800002,0.002348041567841229,51.10642053851163,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,0.01,nan,0.004,nan,nan,nan,nan,nan,nan,3.4559999944704e-08,nan,3.4559999944704e-10,3.4559999944704e-10,2.171468838686915e-07,0.23999999961600005,0.004696083135682458,51.10642053851163,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,20.42,nan,0.004,243.41602022693513,1295.6626739992992,3874.086284687351,0.0022788742851102065,47588.0022281819,2.9801177794678635,nan,nan,nan,0.0007157599391568982,0.0002202376265023691,243.41602022693513,4.792661249985244,50.78932299412661,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,20.42,nan,0.004,nan,nan,nan,nan,nan,nan,7.010381382535731e-05,nan,0.0014315198783137965,0.0014315198783137965,0.0004404752530047382,486.83204045387026,9.585322499970486,50.78932299412662,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,26.7,nan,0.004,316.7866553799392,1690.1629213724216,5041.816210926609,0.0029657742417215343,47476.4865554051,2.966167185205423,nan,nan,nan,0.0012179813326047902,0.0002866218132375067,316.7866553799392,6.264713910350778,50.566819157780415,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,26.7,nan,0.004,nan,nan,nan,nan,nan,nan,9.123455674942249e-05,nan,0.0024359626652095804,0.0024359626652095804,0.0005732436264750135,633.5733107598785,12.529427820701557,50.56681915778042,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,34.56,nan,0.004,406.9431944478078,2179.4316917356255,6476.702095397494,0.003809824761998526,47296.69469912381,2.9437441727995353,nan,nan,nan,0.0020252097792167385,0.00036819352803041155,406.9431944478078,8.104957585402659,50.209170148000304,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,34.56,nan,0.004,nan,nan,nan,nan,nan,nan,0.00011719964000096863,nan,0.004050419558433476,0.004050419558433476,0.000736387056060823,813.8863888956155,16.209915170805314,50.20917014800031,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,53.41,nan,0.004,612.9439804426166,3325.149537989369,9755.306432586447,0.005738415548580263,46692.79448590202,2.869050648018239,nan,nan,nan,0.0047141766713433815,0.0005545786481339358,612.9439804426166,12.504553270053748,49.017663182779344,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,53.41,nan,0.004,nan,nan,nan,nan,nan,nan,0.00017652786636747356,nan,0.009428353342686761,0.009428353342686761,0.0011091572962678713,1225.887960885233,25.009106540107496,49.01766318277934,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,72.26,nan,0.004,800.2627513862377,4419.313185724061,12736.577265544027,0.007492104273849428,45868.874748035516,2.768692054339322,nan,nan,nan,0.008327086043784414,0.0007240606792406091,800.2627513862377,16.877344522074054,47.416390080771635,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,72.26,nan,0.004,nan,nan,nan,nan,nan,nan,0.00023047567239923645,nan,0.016654172087568826,0.016654172087568826,0.0014481213584812181,1600.5255027724754,33.7546890441481,47.41639008077165,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,103.67,nan,0.004,1061.5042562924655,6096.4486365182565,16894.364950203206,0.009937861735413651,44104.721495019694,2.5598154150006405,nan,nan,nan,0.015846645059976943,0.0009604264243169395,1061.5042562924655,24.080135973251867,44.0821537499448,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,103.67,nan,0.004,nan,nan,nan,nan,nan,nan,0.00030571322581223,nan,0.031693290119953886,0.031693290119953886,0.0019208528486338787,2123.008512584931,48.160271946503734,44.0821537499448,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,117.81,nan,0.004,1156.826786764256,6784.4515613811145,18411.47014146453,0.010830276553802665,43191.05908696915,2.454856945005212,nan,nan,nan,0.019625149979812365,0.001046672218015048,1156.826786764256,27.27988898227133,42.40584657496426,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,117.81,nan,0.004,nan,nan,nan,nan,nan,nan,0.00033316611458810574,nan,0.039250299959624736,0.039250299959624736,0.0020933444360300966,2313.6535735285124,54.559777964542654,42.40584657496427,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,0.01,nan,0.004,0.26999999956799997,0.9549296577874284,2.864788971070454,1.6851699829826202e-06,71619.72433405713,2.9999999952000005,nan,nan,nan,3.8879999937791995e-10,2.442902443522779e-07,0.26999999956799997,0.0052830935276427645,51.106420538511614,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,0.01,nan,0.004,nan,nan,nan,nan,nan,nan,7.775999987558398e-08,nan,7.775999987558398e-10,7.775999987558398e-10,4.885804887045557e-07,0.5399999991359998,0.010566187055285529,51.10642053851161,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,20.42,nan,0.004,547.6860455106039,1943.4940109989484,5811.1294270310245,0.0034183114276653084,71382.00334227283,2.9801177794678635,nan,nan,nan,0.0016104598631030205,0.0004955346596303303,547.6860455106039,10.783487812466797,50.78932299412661,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,20.42,nan,0.004,nan,nan,nan,nan,nan,nan,0.00015773358110705388,nan,0.0032209197262060402,0.0032209197262060402,0.0009910693192606605,1095.3720910212076,21.56697562493359,50.7893229941266,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,26.7,nan,0.004,712.7699746048629,2535.2443820586323,7562.724316389911,0.004448661362582301,71214.72983310763,2.966167185205423,nan,nan,nan,0.002740457998360777,0.0006448990797843899,712.7699746048629,14.095606298289248,50.56681915778041,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,26.7,nan,0.004,nan,nan,nan,nan,nan,nan,0.0002052777526862005,nan,0.005480915996721553,0.005480915996721553,0.0012897981595687798,1425.5399492097258,28.1912125965785,50.5668191577804,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,34.56,nan,0.004,915.6221875075672,3269.1475376034373,9715.053143096242,0.005714737142997789,70945.0420486857,2.9437441727995353,nan,nan,nan,0.004556722003237659,0.0008284354380684257,915.6221875075672,18.236154567155975,50.209170148000304,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,34.56,nan,0.004,nan,nan,nan,nan,nan,nan,0.0002636991900021793,nan,0.009113444006475317,0.009113444006475317,0.001656870876136851,1831.244375015134,36.47230913431194,50.209170148000304,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,53.41,nan,0.004,1379.123955995887,4987.724306984053,14632.959648879667,0.008607623322870392,70039.19172885302,2.869050648018239,nan,nan,nan,0.010606897510522606,0.001247801958301355,1379.123955995887,28.135244857620922,49.017663182779344,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,53.41,nan,0.004,nan,nan,nan,nan,nan,nan,0.0003971876993268154,nan,0.021213795021045208,0.021213795021045208,0.00249560391660271,2758.247911991774,56.270489715241844,49.017663182779344,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,72.26,nan,0.004,1800.5911906190343,6628.969778586092,19104.865898316035,0.011238156410774138,68803.31212205326,2.768692054339322,nan,nan,nan,0.018735943598514923,0.0016291365282913698,1800.5911906190343,37.9740251746666,47.41639008077165,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,72.26,nan,0.004,nan,nan,nan,nan,nan,nan,0.0005185702628982819,nan,0.03747188719702985,0.03747188719702985,0.00325827305658274,3601.182381238069,75.9480503493332,47.416390080771656,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,103.67,nan,0.004,2388.3845766580466,9144.672954777383,25341.5474253048,0.014906792603120472,66157.08224252953,2.5598154150006405,nan,nan,nan,0.03565495138494811,0.002160959454713113,2388.3845766580466,54.180305939816684,44.0821537499448,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,103.67,nan,0.004,nan,nan,nan,nan,nan,nan,0.0006878547580775174,nan,0.07130990276989624,0.07130990276989624,0.004321918909426226,4776.769153316093,108.36061187963337,44.0821537499448,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,117.81,nan,0.004,2602.8602702195753,10176.677342071669,27617.20521219679,0.016245414830703995,64786.58863045371,2.454856945005212,nan,nan,nan,0.04415658745457782,0.0023550124905338575,2602.8602702195753,61.379750210110466,42.40584657496427,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,117.81,nan,0.004,nan,nan,nan,nan,nan,nan,0.0007496237578232377,nan,0.08831317490915563,0.08831317490915563,0.004710024981067715,5205.720540439151,122.75950042022093,42.40584657496427,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,0.01,nan,0.004,0.7499999988000002,1.5915494296457142,4.774648285117425,2.8086166383043674e-06,119366.20722342857,2.9999999952000005,nan,nan,nan,1.0799999982720003e-09,6.785840120896611e-07,0.7499999988000002,0.01467525979900768,51.106420538511635,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,0.01,nan,0.004,nan,nan,nan,nan,nan,nan,2.1599999965440005e-07,nan,2.1599999965440005e-09,2.1599999965440005e-09,1.3571680241793221e-06,1.4999999976000005,0.029350519598015365,51.10642053851163,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,20.42,nan,0.004,1521.3501264183444,3239.156684998248,9685.215711718376,0.005697185712775515,118970.00557045474,2.9801177794678635,nan,nan,nan,0.004473499619730613,0.0013764851656398068,1521.3501264183444,29.95413281240777,50.789322994126614,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,20.42,nan,0.004,nan,nan,nan,nan,nan,nan,0.00043814883640848324,nan,0.00894699923946123,0.00894699923946123,0.002752970331279614,3042.7002528366893,59.90826562481554,50.78932299412662,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,26.7,nan,0.004,1979.9165961246197,4225.407303431054,12604.540527316522,0.007414435604303837,118691.21638851275,2.966167185205423,nan,nan,nan,0.007612383328779937,0.001791386332734417,1979.9165961246197,39.15446193969237,50.5668191577804,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,26.7,nan,0.004,nan,nan,nan,nan,nan,nan,0.0005702159796838905,nan,0.015224766657559877,0.015224766657559877,0.0035827726654688347,3959.8331922492403,78.30892387938472,50.56681915778042,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,34.56,nan,0.004,2543.3949652987985,5448.579229339062,16191.755238493737,0.009524561904996317,118241.73674780953,2.9437441727995353,nan,nan,nan,0.012657561120104613,0.0023012095501900717,2543.3949652987985,50.655984908766605,50.20917014800031,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,34.56,nan,0.004,nan,nan,nan,nan,nan,nan,0.0007324977500060539,nan,0.025315122240209226,0.025315122240209226,0.004602419100380143,5086.789930597597,101.3119698175332,50.20917014800032,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,53.41,nan,0.004,3830.8998777663537,8312.873844973423,24388.266081466114,0.014346038871450655,116731.98621475506,2.869050648018239,nan,nan,nan,0.029463604195896134,0.003466116550837098,3830.8998777663537,78.15345793783594,49.01766318277933,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,53.41,nan,0.004,nan,nan,nan,nan,nan,nan,0.00110329916479671,nan,0.058927208391792274,0.058927208391792274,0.006932233101674197,7661.799755532708,156.30691587567182,49.01766318277935,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,72.26,nan,0.004,5001.642196163985,11048.282964310154,31841.44316386007,0.01873026068462357,114672.18687008879,2.768692054339322,nan,nan,nan,0.05204428777365258,0.004525379245253806,5001.642196163985,105.48340326296281,47.41639008077165,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,72.26,nan,0.004,nan,nan,nan,nan,nan,nan,0.001440472952495228,nan,0.10408857554730519,0.10408857554730519,0.009050758490507614,10003.284392327972,210.96680652592562,47.416390080771656,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,103.67,nan,0.004,6634.40160182791,15241.12159129564,42235.91237550801,0.02484465433853412,110261.80373754924,2.5598154150006405,nan,nan,nan,0.0990415316248559,0.006002665151980872,6634.40160182791,150.50084983282412,44.08215374994482,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,103.67,nan,0.004,nan,nan,nan,nan,nan,nan,0.001910707661326438,nan,0.19808306324971184,0.19808306324971184,0.012005330303961744,13268.80320365582,301.0016996656483,44.08215374994481,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.05,nan,117.81,nan,0.004,7230.1674172766,16961.128903452784,46028.67535366133,0.027075691384506665,107977.64771742288,2.454856945005212,nan,nan,nan,0.12265718737382729,0.006541701362594051,7230.1674172766,170.4993061391958,42.405846574964265,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.05,nan,117.81,nan,0.004,nan,nan,nan,nan,nan,nan,0.0020822882161756606,nan,0.24531437474765458,0.24531437474765458,0.0130834027251881,14460.334834553198,340.9986122783916,42.40584657496426,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
low_frequency_asymptotic,,0.02,nan,0.001,nan,0.004,0.011999999999808,0.06366197723624883,0.19098593170721861,1.123446657101286e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,exact Debye relaxation asymptotic
low_frequency_asymptotic,,0.02,nan,0.0017782794100389228,nan,0.004,0.021339352919387378,0.11320878331962962,0.3396263499502969,1.9978020585311582e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,exact Debye relaxation asymptotic
low_frequency_asymptotic,,0.02,nan,0.0031622776601683794,nan,0.004,0.037947331915948984,0.20131684840184283,0.6039505451572124,3.552650265630661e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,exact Debye relaxation asymptotic
low_frequency_asymptotic,,0.02,nan,0.005623413251903491,nan,0.004,0.06748095898869892,0.3579976063449971,1.0739928187632901,6.317604816254647e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,exact Debye relaxation asymptotic
low_frequency_asymptotic,,0.02,nan,0.01,nan,0.004,0.11999999980800002,0.6366197718582858,1.9098593140469697,1.123446655321747e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,exact Debye relaxation asymptotic
